Course,Question,Type,Response,Sentiment,Timestamp,SessionID
"INFS4203/7203","I had a clear understanding of the aims and goals","scale","5","","09:32 AM","moup368ipiu8"
"INFS4203/7203","Q1","chat","yes, it was great","positive","09:33 AM","moup368ipiu8"
"INFS4203/7203","The course was intellectually stimulating","scale","7","","09:33 AM","moup368ipiu8"
"INFS4203/7203","How was the course structured?","mcq","Really well organised","","09:33 AM","moup368ipiu8"
"INFS4203/7203","Q3","chat","Yes they did to me","neutral","09:34 AM","moup368ipiu8"
"INFS4203/7203","How useful were the learning materials?","emoji","Excellent","","09:34 AM","moup368ipiu8"
"INFS4203/7203","Assessment requirements were clear to me","scale","6","","09:34 AM","moup368ipiu8"
"INFS4203/7203","Q5","chat","good, ","positive","09:34 AM","moup368ipiu8"
"INFS4203/7203","Did you get helpful feedback on your work?","mcq","Yes — timely and useful","","09:34 AM","moup368ipiu8"
"INFS4203/7203","I learned a lot in this course","scale","7","","09:34 AM","moup368ipiu8"
"INFS4203/7203","Overall course rating","scale","7","","09:34 AM","moup368ipiu8"
"INFS4203/7203","Q9","chat","yes, the tut 7 was good","positive","09:34 AM","moup368ipiu8"
"INFS4203/7203","Q10","chat","great course","positive","09:34 AM","moup368ipiu8"
"INFS4203/7203","I had a clear understanding of the aims and goals","scale","5","","10:21 AM","mouqu7rjwg1o"
"INFS4203/7203","Q1","chat","clear bro","positive","10:22 AM","mouqu7rjwg1o"
"INFS4203/7203","The course was intellectually stimulating","scale","7","","10:22 AM","mouqu7rjwg1o"
"INFS4203/7203","How was the course structured?","mcq","Really well organised","","10:22 AM","mouqu7rjwg1o"
"INFS4203/7203","Q3","chat","yes they did to me","neutral","10:22 AM","mouqu7rjwg1o"
"INFS4203/7203","How useful were the learning materials?","emoji","Good","","10:22 AM","mouqu7rjwg1o"
"INFS4203/7203","Assessment requirements were clear to me","scale","8","","10:22 AM","mouqu7rjwg1o"
"INFS4203/7203","Q5","chat","yes feels great","positive","10:23 AM","mouqu7rjwg1o"
"INFS4203/7203","Did you get helpful feedback on your work?","mcq","Yes — timely and useful","","10:23 AM","mouqu7rjwg1o"
"INFS4203/7203","I learned a lot in this course","scale","8","","10:23 AM","mouqu7rjwg1o"
"INFS4203/7203","Overall course rating","scale","8","","10:23 AM","mouqu7rjwg1o"
"INFS4203/7203","Q9","chat","nah, all was good to me.","positive","10:23 AM","mouqu7rjwg1o"
"INFS4203/7203","Q10","chat","Yes, take this course.","neutral","10:24 AM","mouqu7rjwg1o"
"INFS4203/7203","I had a clear understanding of the aims and goals","scale","5","","10:44 AM","mousclglolaf"
"INFS4203/7203","Q1","chat","yup, it did.","neutral","10:48 AM","mousclglolaf"
"INFS4203/7203","The course was intellectually stimulating","scale","7","","10:48 AM","mousclglolaf"
"INFS4203/7203","How was the course structured?","mcq","Really well organised","","10:48 AM","mousclglolaf"
"INFS4203/7203","Q3","chat","yup!","neutral","10:48 AM","mousclglolaf"
"INFS4203/7203","How useful were the learning materials?","emoji","Good","","10:48 AM","mousclglolaf"
"INFS4203/7203","Assessment requirements were clear to me","scale","8","","10:48 AM","mousclglolaf"
"INFS4203/7203","Did you get helpful feedback on your work?","mcq","Yes — timely and useful","","11:06 AM","mousclglolaf"
"INFS4203/7203","I learned a lot in this course","scale","5","","11:06 AM","mousclglolaf"
"INFS4203/7203","Overall course rating","scale","5","","11:06 AM","mousclglolaf"
"INFS4203/7203","Q9","chat","nope","neutral","11:06 AM","mousclglolaf"
"INFS4203/7203","Q10","chat","nope","neutral","11:06 AM","mousclglolaf"
